seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
24695,77.81,81.55,72.17,74.97
24707,74.45,74.01,62.33,57.50
24709,91.43,91.43,98.10,98.10
24718,79.80,74.75,87.90,83.09
24721,64.71,60.78,43.77,53.05
24727,86.11,77.78,86.93,77.22
24738,80.36,82.37,72.43,73.71
24752,78.33,76.16,69.18,75.95
24756,76.61,75.00,84.13,75.19
24758,79.17,77.78,75.43,64.72
24760,77.33,81.38,67.82,74.57
24765,84.27,85.39,83.51,86.27
24781,74.19,72.26,66.88,74.03
24786,75.42,76.27,80.60,84.95
24798,83.80,84.51,85.90,88.88
24806,85.11,88.30,93.00,92.42
24807,96.77,83.87,98.39,95.91
24814,78.81,73.23,75.82,74.14
24815,82.86,80.00,80.57,84.61
24831,74.38,74.38,68.44,67.80
24833,79.39,75.76,64.51,78.10
24842,69.78,78.36,61.36,82.35
24858,86.36,80.91,79.12,82.46
24870,79.01,82.72,88.79,91.22
24873,74.44,78.89,66.21,51.96
24877,75.00,74.07,43.73,43.05
24888,74.83,75.50,74.08,72.46
24891,84.46,75.69,75.54,65.67
24901,81.10,80.00,80.40,81.06
24909,66.56,68.40,55.99,57.02
24918,80.56,88.89,97.43,95.63
24920,68.47,67.87,61.16,59.53
24959,82.14,83.93,89.17,91.25
24963,83.78,78.38,93.24,87.34
24981,86.26,83.59,85.50,79.17
25006,82.56,89.23,81.28,93.52
25007,93.90,90.24,100.00,99.24
25010,86.24,88.07,90.53,91.47
25012,67.07,70.73,63.09,66.37
25015,72.24,81.19,70.61,73.96
25019,81.03,76.90,78.11,71.76
25020,93.48,93.48,87.71,87.71
25024,79.85,81.34,81.26,82.95
25027,82.86,83.81,85.58,79.92
25029,80.21,82.29,87.93,88.55
25030,85.71,83.77,91.46,91.50
25059,79.17,76.28,74.32,66.40
25060,79.90,77.39,71.85,74.34
25067,79.11,71.94,74.35,64.90
25070,78.47,76.39,83.28,84.78
25074,83.33,84.92,80.33,81.46
25104,87.88,87.88,88.74,76.57
25111,88.89,88.89,88.06,86.33
25119,78.89,72.78,85.45,76.08
25122,83.00,63.00,84.39,56.29
25152,80.48,80.48,87.24,85.70
25155,80.61,81.63,84.82,85.16
25156,84.00,85.33,73.71,95.33
25163,86.73,91.15,90.16,96.28
25182,94.59,89.19,98.65,73.04
25188,84.28,84.28,70.65,73.67
25194,83.03,78.79,83.40,80.79
25199,93.51,92.21,89.09,87.49
25215,68.90,62.80,49.40,50.62
25225,84.00,80.80,92.82,92.07
25238,70.83,87.50,51.84,61.85
25247,85.71,85.71,74.19,85.46
25253,81.99,81.99,87.13,88.80
25259,89.22,86.27,89.66,85.94
25263,77.12,77.12,63.25,68.28
25264,83.33,80.00,88.61,85.68
25268,66.67,62.82,54.58,58.74
25282,84.62,82.52,88.95,88.78
25288,78.22,75.25,83.30,78.93
25289,79.27,73.17,84.58,84.15
25296,84.67,75.74,78.85,62.08
25302,95.38,95.38,100.00,100.00
25313,86.70,86.70,92.12,89.79
25324,83.01,84.31,79.18,82.06
25325,92.17,89.57,99.35,96.70
25351,82.11,78.95,83.27,78.04
25362,67.65,57.35,68.10,50.69
25363,81.74,80.00,91.02,90.45
25377,57.89,60.53,52.24,58.05
25378,86.72,81.25,92.48,86.83
25396,89.55,91.04,73.96,87.67
25419,91.43,65.71,72.23,33.14
25421,82.28,81.01,78.03,79.41
25431,70.21,74.47,48.73,53.35
25434,76.25,77.50,80.27,78.44
25439,78.66,75.61,76.85,63.98
25440,75.34,80.82,73.17,95.68
25443,87.16,83.78,88.08,82.80
25455,54.46,55.45,21.74,16.50
25458,60.00,54.29,61.04,33.22
25463,70.00,70.59,60.55,58.89
25464,93.26,89.89,100.00,85.58
25488,87.88,87.88,89.39,89.28
25501,72.88,66.10,69.31,55.39
25504,78.85,80.77,81.99,87.68
25505,82.72,77.78,72.84,74.77
25507,90.97,90.28,86.67,94.03
25510,80.00,83.64,74.21,74.71
25523,96.15,95.19,100.00,99.52
25538,81.56,73.76,77.93,81.24
25539,89.33,86.67,91.56,92.56
25540,81.63,86.94,77.87,91.38
25560,83.64,79.39,86.76,76.71
25566,71.19,67.80,59.65,67.85
25573,74.07,73.33,73.97,77.46
25583,81.13,69.81,78.23,70.61
25598,77.05,77.05,86.34,86.75
25599,91.11,88.89,89.85,84.44
25602,67.97,69.28,68.64,74.14
25604,70.25,68.60,67.75,69.12
25610,83.04,82.54,72.18,74.70
25615,69.49,69.49,57.63,57.95
25618,69.88,69.88,49.68,46.42
25629,83.08,75.38,87.63,74.63
25640,70.59,80.09,61.76,67.02
25646,84.07,81.42,86.85,88.36
25648,85.62,85.31,84.73,85.37
25649,73.81,69.05,72.77,56.96
25652,84.00,89.33,85.54,83.05
25659,78.87,81.05,80.08,80.02
25670,81.68,83.97,73.79,77.14
25687,85.00,84.00,88.77,86.75
25704,82.09,83.58,82.31,74.00
25707,80.85,80.85,72.31,73.52
25713,75.89,75.18,77.20,74.57
25715,82.81,81.25,87.89,87.80
25725,92.94,91.76,96.24,93.88
25726,89.86,86.49,84.98,78.35
25727,81.82,90.30,77.12,97.52
25730,77.44,78.52,71.42,72.50
25752,87.85,88.79,94.41,93.26
25760,84.05,84.66,86.78,81.89
25769,82.05,75.64,86.31,68.74
25781,81.82,80.17,78.30,77.31
25790,77.52,71.32,60.00,62.22
25792,72.35,73.45,66.80,68.14
25807,87.80,92.68,94.39,95.08
25812,85.57,80.07,83.82,78.77
