seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
24696,71.70,73.58,62.62,73.18
24701,77.61,74.38,72.27,67.71
24715,90.96,85.88,69.06,77.99
24725,70.53,63.16,68.22,72.85
24730,77.78,78.40,76.54,77.28
24732,91.01,82.02,82.71,85.15
24735,87.44,86.10,80.37,87.73
24739,89.58,87.50,95.83,98.75
24745,73.39,77.98,80.55,85.22
24769,79.27,80.49,85.88,88.31
24775,74.35,75.00,66.14,72.95
24779,69.51,80.49,29.01,61.11
24794,86.86,72.46,86.65,63.47
24830,85.14,79.32,67.74,53.79
24843,78.38,77.03,83.44,80.34
24852,70.09,67.29,62.58,56.81
24863,82.30,85.84,89.41,95.34
24866,86.75,85.54,85.51,95.76
24874,80.00,79.13,81.88,78.80
24879,90.30,86.57,89.22,92.20
24882,79.22,83.77,66.37,73.94
24884,61.59,70.29,65.53,59.67
24885,73.76,69.50,51.21,47.56
24900,85.57,89.69,85.00,89.23
24905,80.83,76.67,72.62,76.71
24911,78.65,77.58,79.26,77.08
24913,73.90,76.23,70.25,64.80
24914,87.64,85.39,83.62,78.10
24922,88.03,86.62,86.83,87.39
24924,79.40,79.83,77.78,65.88
24926,83.82,77.46,79.27,75.92
24928,81.25,80.08,76.57,64.82
24931,70.98,73.66,73.07,73.37
24936,88.29,86.49,90.23,93.81
24940,78.38,82.70,82.60,84.77
24957,98.36,100.00,98.36,100.00
24971,75.57,70.99,73.12,58.01
24977,80.22,77.24,74.56,70.93
25009,78.73,76.77,74.14,69.01
25013,80.11,77.42,87.34,75.69
25016,80.23,79.07,80.62,82.41
25022,83.16,81.05,84.95,77.58
25026,71.70,71.70,74.17,74.95
25041,71.81,69.13,77.05,68.05
25045,80.95,76.19,87.87,77.16
25051,83.76,80.34,82.68,78.09
25055,94.59,83.78,63.09,63.68
25058,75.37,71.27,71.80,70.02
25061,81.82,80.91,75.02,71.10
25062,98.08,90.38,100.00,80.78
25064,84.59,67.47,79.92,62.86
25069,94.59,91.89,97.57,95.95
25073,86.36,87.88,87.67,87.27
25086,87.67,84.25,84.75,83.00
25090,65.85,68.29,25.15,45.73
25093,64.56,60.76,57.94,55.90
25107,78.12,90.62,76.25,96.88
25116,86.90,85.71,98.21,94.64
25135,76.47,76.47,54.86,54.86
25148,72.13,73.77,67.30,82.16
25154,60.61,63.64,48.15,36.92
25160,91.43,82.14,97.79,84.39
25161,84.88,81.79,79.70,80.99
25168,80.13,78.86,81.23,78.37
25171,86.79,76.42,77.52,70.29
25173,85.48,84.95,93.39,90.35
25175,88.68,76.42,89.56,69.63
25176,88.73,89.67,83.95,87.94
25179,82.20,83.05,82.65,91.17
25181,93.41,88.02,97.60,82.32
25186,79.14,78.81,77.16,77.44
25193,84.03,81.68,71.62,68.36
25198,82.24,80.92,70.93,64.92
25210,72.44,73.72,75.99,80.99
25218,90.84,87.79,87.10,89.28
25231,80.56,82.87,78.92,83.17
25243,71.87,81.25,48.61,65.86
25248,77.27,78.03,72.17,72.83
25254,85.53,86.84,92.50,92.50
25266,94.25,93.10,95.57,95.57
25267,88.33,85.21,76.40,82.53
25276,94.83,94.83,84.00,84.00
25279,85.49,74.61,82.09,65.88
25318,87.50,84.26,87.32,84.93
25321,86.61,85.04,87.10,81.30
25335,67.92,68.94,52.35,55.67
25342,91.85,86.96,85.98,82.13
25343,68.75,76.25,44.55,46.74
25344,81.02,80.72,81.95,79.96
25353,94.12,97.06,100.00,100.00
25354,76.17,71.03,65.86,62.31
25355,84.17,81.65,85.49,79.70
25358,81.52,82.61,84.94,89.03
25361,76.37,84.07,80.54,89.87
25366,85.53,82.89,73.99,69.33
25367,89.26,87.60,97.83,96.07
25369,82.59,82.14,60.66,70.79
25370,80.33,77.05,78.04,72.78
25373,91.92,89.90,98.72,97.10
25379,86.29,83.06,79.26,78.35
25386,82.39,78.62,76.35,83.54
25391,78.85,80.77,40.00,56.10
25398,81.55,80.10,84.75,85.86
25400,83.56,89.04,63.21,69.13
25406,79.73,75.68,67.60,59.86
25411,78.69,79.51,82.96,82.54
25413,72.35,76.52,75.49,74.87
25415,73.53,77.94,76.44,71.83
25420,84.75,81.36,81.71,77.06
25427,78.75,78.75,71.90,76.43
25469,71.76,76.47,77.54,82.89
25474,75.72,71.68,82.47,75.94
25480,77.45,76.47,83.24,80.53
25490,88.31,88.96,75.31,82.32
25496,79.10,77.61,82.00,80.76
25512,87.50,86.90,86.10,77.30
25513,80.00,75.15,58.57,68.78
25520,82.10,81.48,79.00,74.16
25542,79.55,81.82,71.18,81.28
25544,86.96,82.61,91.12,81.70
25546,79.52,78.92,72.31,68.55
25549,75.12,77.11,84.84,79.53
25550,85.96,83.33,81.55,84.20
25551,76.43,77.71,81.68,77.68
25562,81.72,83.87,80.29,86.52
25564,80.35,81.40,71.20,72.70
25576,62.26,66.04,72.64,49.00
25588,73.17,70.73,59.46,58.56
25607,82.26,81.18,84.32,82.70
25608,82.20,81.55,87.46,83.84
25612,84.17,83.33,88.50,88.78
25638,81.79,75.82,83.79,78.31
25643,89.70,89.70,98.86,97.88
25650,69.48,69.48,61.73,57.49
25661,67.65,64.71,69.71,70.59
25666,77.85,77.18,79.46,79.80
25667,80.57,66.29,39.50,49.94
25671,84.51,81.69,79.94,90.61
25689,84.58,83.58,84.60,79.46
25693,91.22,87.84,93.25,94.59
25694,92.65,91.18,99.26,98.28
25718,85.12,82.79,79.48,73.35
25720,83.87,85.48,94.24,94.24
25723,80.00,80.00,71.79,71.86
25724,78.32,78.32,72.52,74.92
25731,78.42,82.99,69.07,84.45
25745,81.23,80.00,85.59,84.03
25759,80.23,83.72,72.38,80.13
25762,72.08,63.64,73.62,63.19
25774,80.46,67.43,80.82,63.80
25786,90.24,90.24,98.35,99.02
25788,84.11,83.11,71.76,65.59
25800,79.49,79.91,77.46,78.31
25804,86.05,80.81,82.71,73.03
25809,79.43,71.29,85.17,67.29
25816,86.99,83.74,79.57,78.57
25819,75.49,68.63,71.81,58.13
25820,80.99,80.28,86.10,83.27
25828,82.31,84.62,90.34,93.79
25829,80.17,79.05,85.17,83.93
25831,85.19,83.33,78.82,81.37
25854,80.95,79.76,54.31,50.94
25881,78.15,74.17,78.20,67.54
25888,81.33,74.33,79.99,70.51
25895,79.12,76.44,72.39,66.88
25897,72.73,75.21,70.70,66.55
25937,64.15,65.27,62.75,67.32
25938,72.70,65.95,67.25,58.13
25939,70.85,69.35,69.27,62.04
25963,79.06,71.73,71.74,67.90
25986,78.40,78.40,76.81,76.88
26022,88.24,82.35,80.51,78.53
26024,82.61,79.71,89.85,88.04
26040,86.11,85.42,79.14,81.85
26051,79.76,73.68,76.17,74.54
26080,79.00,81.28,87.60,82.62
26083,88.89,87.50,67.84,43.57
26088,92.22,93.89,67.35,84.06
26091,82.33,79.53,85.61,80.14
26092,82.40,83.20,81.92,89.91
26098,79.74,79.08,77.09,78.38
26107,87.97,82.28,95.24,84.91
26123,89.38,88.50,86.25,86.25
26129,86.64,84.91,91.76,87.84
26130,79.67,76.37,77.78,69.68
26142,76.09,77.54,69.49,77.53
26152,75.36,73.38,71.49,68.12
26155,74.32,69.26,68.36,64.79
26156,81.78,84.58,79.42,92.27
26159,84.88,82.82,82.95,79.07
26169,73.73,76.27,77.46,79.34
26182,88.11,80.54,87.20,87.01
26195,88.57,91.43,97.14,100.00
