seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
24697,93.62,91.49,96.81,94.33
24704,93.83,93.83,98.97,98.97
24720,75.17,75.84,74.34,74.28
24740,88.11,76.92,87.63,77.28
24759,79.17,82.29,47.66,65.02
24761,81.48,85.19,77.25,90.48
24770,76.58,75.32,56.84,63.68
24777,90.32,82.95,78.35,69.76
24799,72.88,64.11,56.46,46.81
24801,82.93,82.93,75.20,74.53
24811,81.68,81.68,75.60,87.37
24818,76.85,78.70,74.53,77.81
24824,79.53,80.31,80.18,85.44
24825,88.12,83.98,89.61,89.00
24844,85.19,85.19,77.31,83.57
24849,84.21,85.53,79.58,81.00
24856,91.80,83.61,96.72,83.49
24861,93.80,90.70,97.11,95.45
24875,93.53,95.88,99.71,99.71
24890,79.53,74.02,78.37,68.63
24892,83.33,81.37,90.81,88.85
24902,89.00,84.00,77.69,76.70
24904,84.16,72.28,79.79,74.34
24927,86.96,87.68,85.88,78.21
24934,86.84,81.58,95.43,90.01
24941,84.50,86.05,88.73,91.34
24942,77.27,83.12,64.68,75.99
24944,56.96,54.43,52.55,48.77
24945,81.90,80.00,80.14,79.13
24946,86.43,89.29,74.66,89.85
24950,83.47,80.72,85.85,85.39
24980,78.72,73.40,72.05,67.23
24987,92.86,88.10,68.33,78.43
24992,72.15,70.89,70.95,67.75
24994,67.92,68.19,63.68,62.48
24998,82.90,81.61,76.83,77.34
25002,78.12,73.96,68.65,67.18
25021,76.00,80.00,49.60,62.69
25033,80.98,79.89,79.55,72.90
25034,92.41,86.90,71.66,69.75
25038,72.97,73.87,80.08,77.02
25046,63.35,62.30,48.12,50.72
25063,81.08,70.27,81.40,73.75
25088,75.64,81.41,78.77,80.26
25100,75.92,77.49,80.37,73.45
25101,84.03,83.19,71.74,74.20
25118,86.87,85.00,79.55,87.43
25123,85.16,87.50,86.83,86.50
25124,81.56,81.01,75.69,73.58
25126,89.22,77.84,69.48,63.76
25137,85.33,66.67,88.89,66.87
25139,92.42,89.39,95.45,90.18
25143,81.55,84.47,86.33,81.40
25165,81.53,80.89,79.93,81.25
25170,68.99,74.68,50.83,54.31
25187,85.48,83.87,93.55,82.03
25189,84.35,80.95,80.10,63.57
25191,72.09,74.42,69.08,67.05
25204,91.90,88.57,81.89,78.05
25212,74.69,77.78,74.40,77.40
25216,83.58,80.60,83.43,73.66
25221,80.10,68.37,75.61,65.02
25228,94.55,94.55,85.19,98.18
25235,71.87,64.06,55.84,59.36
25241,87.50,81.25,79.14,79.31
25244,81.03,82.76,96.90,97.41
25245,84.35,78.59,78.34,68.46
25246,77.20,74.61,82.20,63.87
25249,81.63,80.95,64.15,71.97
25261,84.09,73.86,72.04,74.55
25272,83.12,84.42,84.39,85.12
25280,81.74,77.39,79.48,67.58
25283,59.48,66.38,45.20,61.71
25287,80.41,81.10,79.51,80.36
25291,72.90,71.03,81.81,81.62
25293,79.14,84.66,64.90,79.92
25294,94.12,92.65,93.28,61.36
25295,85.26,86.84,89.51,91.13
25311,84.57,80.44,80.46,72.15
25312,81.40,74.42,91.16,82.79
25319,82.52,81.34,70.84,71.21
25320,86.11,87.50,73.56,69.37
25323,89.90,86.20,85.13,76.06
25328,80.62,67.69,75.93,64.40
25333,92.86,91.43,97.86,97.14
25334,70.54,69.64,72.26,71.08
25340,86.31,87.50,70.40,67.01
25345,96.61,83.05,98.31,66.84
25346,88.64,80.68,88.42,79.18
25347,80.15,77.15,73.19,65.02
25352,85.53,81.13,83.95,78.88
25356,89.06,82.81,93.33,78.44
25359,88.59,85.91,81.46,84.39
25393,88.29,85.59,76.61,69.45
25397,88.73,87.57,89.32,86.59
25399,94.12,88.24,99.02,71.43
25416,69.86,69.86,60.88,61.59
25418,73.62,69.04,71.11,64.17
25425,84.68,87.10,74.25,84.18
25426,79.49,79.49,80.24,84.00
25432,80.99,80.28,61.71,61.82
25448,86.08,79.75,92.41,75.83
25451,79.76,82.14,75.80,83.45
25454,78.49,78.49,79.80,75.02
25457,61.46,64.58,60.18,68.27
25473,83.33,80.95,82.35,81.95
25476,93.26,88.76,85.99,75.39
25483,86.00,92.00,80.10,81.63
25485,77.32,72.68,71.02,67.49
25506,84.97,84.79,87.57,86.11
25508,95.00,96.25,98.12,98.12
25511,70.00,61.25,64.42,50.68
25515,84.75,85.59,77.94,78.99
25521,72.09,74.42,57.33,68.45
25522,89.09,88.48,92.86,93.71
25527,78.00,77.00,64.55,73.02
25553,84.62,82.05,87.18,82.05
25559,90.48,90.48,97.50,94.53
25577,84.62,63.85,81.79,56.87
25578,65.60,68.80,68.72,59.63
25585,84.41,82.71,79.80,80.02
