scopeID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
d3dnja_,90.00,92.50,95.42,95.62
d1v6pa_,80.65,79.03,79.71,73.55
d2i06a_,75.08,73.11,69.01,67.66
d1lpba1,64.10,51.28,28.86,21.06
d2bfdb2,84.06,80.43,86.34,83.00
d1nzea_,90.18,91.07,80.90,91.27
d1w6sb_,88.89,90.28,69.81,74.76
d2c71a1,80.88,76.96,82.75,83.12
e1qd6.1C,72.92,77.92,82.72,88.63
d1vr7a_,81.67,75.00,85.49,78.11
d1cuka1,87.50,89.58,95.83,100.00
d4g78a_,85.03,89.12,81.86,84.06
d1j0pa_,75.00,78.70,42.63,44.72
d3os4a2,82.75,78.82,86.86,80.16
d1orja_,84.92,86.51,82.74,81.29
d2fcwa1,90.48,90.48,97.17,97.86
d1dj0a_,86.74,78.03,89.10,70.71
d1dzfa2,80.56,79.17,78.03,78.03
d4hwsa2,75.42,77.12,79.15,79.15
d2j80a_,90.70,87.60,91.90,86.34
d2e0aa1,88.48,88.48,87.86,93.90
d2euca1,64.81,65.74,62.40,59.63
d2jlia_,85.00,88.00,92.19,92.56
d1vq8l1,80.00,77.24,67.77,50.05
d1jb0j_,75.61,82.93,77.03,77.51
d1c5ea_,68.42,60.00,63.64,63.92
d1l5ja1,90.00,86.25,82.25,89.27
d1mw5a_,64.20,56.79,67.45,60.59
d1o82a_,74.29,64.29,76.35,55.74
d2fefa1,85.48,84.68,86.04,90.89
d1m55a_,80.31,83.94,75.24,77.83
d1vrma1,85.11,82.20,83.90,79.46
d1hxra_,76.64,68.22,67.08,59.40
d3s8ga_,79.06,68.95,67.83,62.16
d1n62c1,88.99,88.99,89.69,92.11
d2z16a_,77.12,75.16,92.36,79.82
d3n4ja_,85.09,79.50,86.67,80.99
d1z67a1,87.40,88.98,90.66,98.10
d1uuja_,77.63,77.63,70.92,71.64
d3nvsa_,80.05,80.75,81.01,79.32
d1muwa_,85.49,81.87,79.70,74.63
d2cc6a_,81.25,85.94,88.75,91.25
d3ip0a_,79.11,80.38,71.87,85.73
d3bhda_,79.15,85.78,77.15,84.19
d2p90a1,84.39,82.53,83.95,84.37
d1q0qa1,86.73,81.63,88.32,83.63
d2au5a1,85.94,84.37,89.17,91.67
d1r0ri_,78.43,76.47,56.54,54.86
d1b25a2,86.19,74.76,90.58,77.58
d3d3ra1,76.32,84.21,75.58,65.87
d3essa_,73.37,71.86,68.71,58.76
d1v7za_,88.72,87.94,75.91,80.45
d3u81a_,79.00,79.45,86.74,83.23
d3ag3c_,96.91,86.49,98.84,90.00
d3ag3k_,59.18,65.31,44.04,62.82
d1t9ia_,83.66,84.97,87.95,92.61
d1w53a_,92.86,89.29,98.02,97.72
d1n8va_,95.05,94.06,98.76,92.13
d1udxa3,76.32,73.68,68.64,66.19
