seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
24695,82.29,79.80,79.55,70.38,71.47,67.13
24707,74.89,75.33,74.45,58.80,62.67,60.15
24709,94.29,94.29,94.29,98.10,98.10,98.10
24718,81.82,83.84,76.77,90.49,91.75,81.20
24721,72.55,78.43,62.75,50.49,50.93,63.12
24727,84.72,88.89,77.78,89.19,89.58,86.01
24738,81.47,81.47,80.36,65.34,65.18,69.61
24752,82.66,82.66,80.80,82.23,78.72,78.71
24756,77.42,75.81,76.61,79.79,85.33,75.68
24758,80.56,77.78,76.39,78.03,71.83,71.06
24760,78.54,78.54,78.14,71.52,67.24,73.63
24765,88.76,87.64,83.71,87.54,88.25,82.78
24781,71.61,71.61,70.97,70.30,66.36,71.37
24786,78.81,78.81,77.12,86.64,85.04,85.72
24798,84.51,84.51,84.51,86.28,86.33,84.94
24806,85.11,84.04,88.30,84.85,89.54,87.91
24807,96.77,96.77,93.55,98.39,98.39,97.85
24814,75.84,78.81,72.86,69.50,74.40,69.91
24815,83.81,82.86,80.00,89.44,90.20,86.70
24831,74.69,73.15,75.31,70.46,63.33,68.12
24833,80.61,79.39,75.76,79.01,72.77,77.77
24842,73.51,69.78,75.75,73.26,64.22,77.28
24858,84.55,84.55,80.00,82.94,84.61,80.61
24870,80.25,81.48,83.95,86.64,87.53,91.22
24873,74.44,72.22,74.44,61.38,60.44,35.24
24877,74.07,73.15,75.00,43.73,43.09,43.77
24888,74.83,70.20,62.91,59.77,56.97,43.44
24891,83.71,83.71,72.18,79.69,78.34,60.02
24901,82.19,79.73,83.56,81.93,82.13,85.08
24909,67.18,66.56,67.48,56.20,56.66,53.44
24918,83.33,80.56,80.56,97.98,94.35,94.41
24920,70.87,70.57,67.87,60.32,62.82,54.23
24959,81.55,82.14,80.95,89.22,89.17,87.75
24963,83.78,83.78,78.38,91.97,93.58,86.18
24981,85.88,85.11,81.30,86.59,81.82,82.89
25006,85.64,81.03,83.59,82.74,79.50,86.48
25007,93.90,93.90,91.46,100.00,100.00,90.32
25010,87.16,85.32,87.16,90.55,89.48,91.93
25012,69.82,67.07,67.99,67.75,66.98,64.55
25015,80.30,75.22,80.90,85.39,80.43,73.59
25019,76.55,78.97,77.93,74.98,72.15,74.75
25020,93.48,93.48,93.48,87.13,87.13,87.13
25024,83.58,82.09,82.84,88.56,88.26,84.05
25027,90.48,86.67,83.81,87.71,91.29,85.91
25029,79.17,77.08,80.21,86.84,84.86,88.50
25030,88.31,87.66,84.42,93.28,92.96,90.93
25059,77.88,78.85,77.88,72.61,70.93,73.72
25060,75.88,75.38,74.37,71.19,69.09,70.30
25067,78.06,77.22,73.63,73.38,70.47,67.30
25070,78.47,72.92,73.61,75.31,70.52,91.01
25074,84.92,84.92,84.13,82.74,83.41,81.41
25104,90.91,82.83,89.90,89.31,59.44,85.80
25111,91.67,91.67,86.11,94.72,94.72,86.30
25119,75.56,75.00,72.78,72.81,82.19,77.74
25122,77.00,81.00,67.00,88.76,71.41,57.30
25152,81.38,80.18,80.48,85.43,83.51,86.46
25155,81.63,78.57,85.71,85.90,81.59,89.88
25156,80.00,77.33,85.33,93.19,90.90,73.71
25163,88.50,86.73,90.27,92.31,90.10,95.40
25182,87.84,86.49,89.19,72.41,72.07,78.23
25188,88.68,83.65,84.28,80.59,81.49,70.43
25194,82.42,83.64,76.97,80.83,80.33,78.32
25199,87.01,85.71,85.71,93.51,87.20,93.65
25215,62.20,62.80,60.98,49.41,49.95,49.13
25225,82.40,84.00,80.00,92.65,93.83,86.98
25238,75.00,60.42,85.42,57.72,63.02,51.42
25247,87.01,87.01,88.31,83.81,82.12,84.02
25253,85.09,86.96,81.37,92.69,90.11,89.71
25259,87.25,86.27,83.33,79.35,96.32,96.23
25263,72.03,72.88,71.19,53.08,59.93,53.11
25264,81.67,81.67,80.00,84.17,84.17,83.33
25268,61.54,66.67,61.54,57.50,60.92,60.33
25282,83.22,83.92,79.72,88.21,88.47,86.91
25288,73.27,77.23,73.27,80.28,85.23,75.20
25289,75.61,75.61,71.95,83.27,83.88,83.36
25296,81.46,83.52,75.97,69.53,72.74,62.23
25302,93.85,93.85,92.31,100.00,100.00,99.23
25313,87.55,83.69,87.55,91.37,90.74,90.55
