seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
24697,91.49,89.36,93.62,93.40,90.92,96.81
24702,83.04,83.48,79.46,83.95,85.33,84.78
24712,76.12,79.10,73.13,87.84,88.43,89.63
24717,90.74,87.96,89.81,90.17,80.87,90.17
24739,91.67,91.67,91.67,100.00,100.00,100.00
24747,79.79,81.91,76.60,86.23,89.03,84.34
24767,85.56,85.56,83.33,93.78,93.33,89.80
24783,87.42,86.09,84.11,88.81,87.85,87.76
24785,69.14,66.67,70.99,75.76,73.36,77.98
24791,84.44,85.56,72.22,80.72,80.88,81.39
24800,93.68,92.63,93.68,97.37,96.32,95.79
24801,85.37,85.37,82.93,76.04,76.04,74.53
24840,86.09,86.96,86.09,79.21,78.91,79.21
24848,76.60,77.66,76.06,71.62,74.84,73.36
24855,81.85,82.51,76.90,76.68,77.84,73.19
24866,91.57,89.76,89.16,98.80,88.66,96.76
24879,91.79,92.54,89.55,95.24,95.24,95.19
24883,81.89,78.38,75.27,67.31,55.66,65.09
24899,87.23,87.23,84.40,84.42,82.73,84.65
24901,81.37,80.27,81.10,82.40,83.14,82.59
24908,91.55,90.85,88.03,98.12,96.30,79.81
24931,81.70,77.23,83.04,80.73,78.22,78.59
24934,86.18,86.84,81.58,93.53,94.37,87.38
24936,92.79,90.99,92.79,93.24,92.20,95.27
24938,89.36,88.30,84.04,90.75,79.59,88.79
24939,92.48,93.23,89.47,97.37,97.37,88.30
24941,83.72,85.27,86.05,89.68,92.30,83.95
24945,80.00,80.95,80.00,75.60,76.05,73.42
24948,81.94,83.33,72.69,78.67,82.03,73.42
24951,75.19,75.19,78.20,70.07,69.21,74.23
24957,100.00,100.00,100.00,100.00,100.00,100.00
24966,85.98,84.15,82.32,81.42,79.46,76.63
24967,81.90,83.81,72.38,76.94,86.22,59.71
24981,87.40,89.31,80.92,86.45,84.66,74.18
24985,79.26,80.29,77.41,66.70,73.45,65.60
25004,81.63,82.83,78.31,82.65,79.83,80.65
25015,80.60,77.01,83.88,76.43,72.72,81.56
25018,97.30,97.30,93.92,100.00,100.00,96.96
25020,91.30,93.48,89.13,86.04,87.71,84.58
25026,79.25,77.36,75.47,77.29,77.29,76.55
25049,70.00,72.86,70.00,60.30,76.35,62.02
25054,93.22,91.53,94.92,84.29,82.86,84.29
25058,76.49,75.37,75.00,75.28,68.44,72.03
25062,96.15,96.15,96.15,100.00,100.00,100.00
25064,84.25,85.96,61.64,76.15,77.89,53.10
25068,83.93,83.93,82.14,83.14,83.29,82.69
25069,93.24,93.24,94.59,98.24,97.57,99.32
25071,72.22,81.11,68.89,71.99,71.29,68.19
25076,83.02,79.25,88.68,84.67,82.55,88.92
25086,89.73,86.99,87.67,86.79,84.57,85.27
25103,86.96,85.51,86.96,82.35,81.80,82.93
25106,86.36,84.85,86.36,93.79,76.33,81.19
25111,86.11,83.33,88.89,86.30,90.56,86.33
25112,85.62,83.56,83.56,85.23,83.99,78.55
25122,80.00,81.00,68.00,91.21,75.96,64.55
25129,89.47,89.47,87.37,97.11,97.11,96.05
25146,66.67,64.91,70.18,44.04,39.64,50.31
25156,86.67,85.33,86.67,93.86,93.00,93.19
25167,87.50,86.36,89.20,79.77,73.90,81.29
25169,76.67,75.00,78.89,71.64,69.44,73.03
25171,87.74,87.74,85.85,89.31,88.36,77.59
25187,85.48,85.48,87.10,88.79,77.43,89.86
25188,89.31,89.31,82.39,78.42,78.26,70.96
25213,78.30,76.17,78.30,81.91,76.15,83.15
25250,95.71,92.86,91.43,99.14,99.14,96.00
25261,82.95,84.66,79.55,65.83,68.87,73.30
25293,85.89,79.14,87.73,72.83,61.83,80.70
25297,87.69,86.15,86.92,86.28,84.21,83.12
25305,82.55,83.83,81.70,83.88,81.01,85.39
25307,81.67,79.17,83.33,81.61,83.32,86.46
25309,87.06,86.73,84.47,84.21,84.93,80.57
25313,87.12,83.69,88.84,91.74,90.59,90.03
25320,87.50,81.94,87.50,68.77,56.67,68.60
25333,92.86,92.86,92.86,97.86,99.29,97.86
25342,90.76,88.59,88.04,92.32,89.17,91.12
25344,82.83,83.13,80.72,80.78,81.13,78.97
25345,93.22,98.31,94.92,99.15,100.00,99.15
25351,80.00,78.95,81.05,78.04,76.74,79.17
25358,80.98,79.35,83.15,86.47,83.61,87.88
25365,80.61,79.39,72.73,71.39,68.28,65.40
25385,91.95,91.95,91.95,97.13,97.13,99.43
25388,88.56,90.75,85.40,87.22,88.27,79.92
25395,77.71,78.31,77.11,65.14,70.80,72.42
25396,97.01,94.03,95.52,100.00,73.96,97.01
25399,90.20,92.16,90.20,97.84,99.02,97.48
25402,77.83,77.34,76.85,77.24,76.72,73.52
25418,75.23,75.46,72.48,72.33,72.66,69.91
25423,91.67,83.33,80.56,78.72,78.72,72.34
25426,85.26,82.69,83.33,88.33,87.78,84.93
25429,90.00,86.25,87.50,86.45,85.45,85.74
25432,80.99,81.69,78.17,61.90,62.19,51.74
25437,86.57,86.57,87.31,91.95,68.96,92.50
25443,87.84,91.22,80.41,85.25,92.77,76.31
25454,81.72,79.57,78.49,89.92,83.35,84.93
25458,61.43,62.86,60.00,49.68,56.49,48.92
25461,85.51,84.78,84.06,84.71,85.69,90.80
25468,84.64,85.00,85.71,86.99,85.73,85.76
25494,85.45,85.45,85.45,86.18,86.18,93.64
25499,76.09,75.54,71.20,78.21,75.84,73.53
25503,86.44,84.75,88.98,89.72,89.25,90.34
25505,80.86,80.25,81.48,71.83,72.97,71.97
25506,85.53,83.86,86.27,89.03,88.31,89.59
25509,91.76,92.94,89.41,96.57,96.67,94.80
25510,89.09,83.64,90.91,76.06,75.53,89.00
25513,80.61,80.61,76.97,80.00,82.05,78.30
25517,80.67,76.47,84.03,74.44,69.49,81.93
25541,83.33,85.19,85.19,84.71,85.18,85.71
25548,84.30,84.30,83.47,84.48,84.30,82.46
25555,86.29,87.10,86.29,80.77,78.69,90.93
25556,73.72,72.44,71.15,69.78,74.04,68.09
25558,89.81,91.08,87.26,96.82,97.18,96.28
25564,83.86,82.81,86.32,82.87,82.26,79.27
25566,66.10,62.71,64.41,66.04,52.82,57.21
25571,87.64,82.02,87.64,92.45,89.85,96.52
25577,81.54,86.92,63.08,80.54,95.00,64.82
25585,83.73,80.68,84.41,81.45,77.29,82.71
25590,84.27,85.39,83.15,86.95,86.95,85.53
25594,82.09,82.09,82.84,90.85,90.11,84.62
25595,90.98,90.16,89.34,89.57,89.40,89.75
25598,81.97,81.97,81.97,89.18,89.18,89.18
25609,89.21,86.03,90.79,93.30,84.67,96.17
25614,87.88,86.36,77.27,74.60,58.92,59.90
25615,74.58,72.88,79.66,58.97,59.64,67.72
25649,71.43,70.48,70.00,61.53,60.98,58.14
25656,82.05,81.20,76.92,85.33,87.26,85.43
25658,72.73,70.45,77.27,83.37,78.54,86.02
25660,97.44,97.44,94.87,98.72,98.72,98.72
25665,89.15,90.70,86.82,91.73,92.67,89.21
25669,83.17,85.15,79.21,92.96,80.49,89.59
25689,85.57,84.08,87.06,84.48,84.76,82.89
25696,84.34,84.94,79.22,81.66,85.25,74.43
25705,43.16,42.11,46.32,44.34,44.75,44.26
25708,77.55,80.95,76.19,76.71,78.80,74.05
25709,80.58,81.55,84.47,85.77,85.77,94.76
25731,81.33,80.91,81.74,76.86,73.38,79.16
25739,84.52,83.33,85.71,92.18,89.55,94.76
25740,83.47,83.06,82.26,80.27,76.81,79.03
25758,69.88,74.70,73.49,79.97,82.46,69.32
25760,85.89,84.05,85.28,88.17,86.20,87.46
25771,83.17,85.15,82.18,82.86,84.64,82.83
25781,85.12,81.82,85.12,87.34,83.63,85.36
25792,73.45,72.57,73.89,64.21,63.58,65.30
25794,72.82,75.24,63.11,58.20,58.75,29.42
25798,83.58,86.13,74.09,86.89,83.94,73.74
25800,84.19,84.19,86.32,86.38,86.64,89.23
25809,81.82,84.69,66.99,79.35,82.16,62.03
25813,79.84,79.03,79.03,82.98,76.76,84.32
25815,87.58,86.93,86.93,83.96,83.97,83.17
25817,82.79,81.97,80.33,81.06,79.89,79.43
25833,82.09,82.09,81.09,81.01,81.84,75.78
25836,86.15,87.69,84.62,94.31,95.23,93.13
25854,83.33,83.33,80.95,70.42,70.42,52.36
25856,91.78,90.41,87.67,82.38,95.07,79.93
25864,75.73,76.99,69.87,75.44,82.44,68.58
25891,72.61,69.43,72.61,70.44,68.67,69.13
25899,75.39,73.30,80.10,76.00,70.60,83.50
25905,83.01,84.38,79.45,74.71,76.13,73.37
25914,88.62,88.62,89.43,94.09,95.93,94.58
25926,83.48,81.74,66.96,79.38,71.53,66.54
25928,83.99,86.12,81.85,89.70,94.55,83.83
25936,78.57,76.19,76.19,81.21,71.14,82.53
25947,88.07,86.24,88.07,90.35,89.95,88.47
25950,92.86,90.48,91.67,98.09,74.57,76.35
25953,90.58,92.75,84.78,87.85,93.51,92.93
25955,79.62,78.85,70.38,74.23,75.56,70.78
25975,85.44,86.71,80.38,83.37,85.62,82.43
25979,76.92,74.23,77.31,78.51,77.07,78.96
25993,80.97,81.78,78.14,79.80,80.33,74.38
