seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
24702,81.70,79.46,79.91,88.52,87.44,83.26
24712,68.66,74.63,70.15,75.00,80.87,66.21
24715,87.57,90.96,84.75,68.79,89.12,77.49
24737,75.89,74.11,77.23,72.97,70.57,73.94
24740,83.92,85.31,78.32,85.67,90.84,73.85
24768,88.73,92.96,77.46,85.40,88.55,79.16
24777,86.18,88.94,79.72,65.63,72.89,61.18
24784,79.63,72.22,79.01,61.05,52.13,64.09
24786,76.27,76.27,76.27,84.82,80.69,85.72
24816,94.29,94.29,90.00,95.71,95.71,94.86
24817,79.41,80.88,75.00,91.70,91.70,87.13
24824,82.68,81.10,82.68,86.00,84.90,91.44
24849,80.26,80.26,85.53,78.79,76.03,81.26
24856,95.08,93.44,83.61,98.36,98.36,86.65
24864,80.42,76.92,82.52,82.08,72.00,81.50
24881,88.79,84.11,88.79,84.41,78.40,84.27
24883,73.11,75.27,64.86,48.34,52.70,45.19
24888,72.19,70.86,56.95,65.24,59.49,42.42
24894,83.33,85.09,82.46,59.69,71.33,59.07
24913,75.19,74.94,74.68,65.64,70.12,63.76
24917,82.41,80.09,77.78,72.91,77.69,73.32
24927,86.96,84.78,86.23,93.84,93.77,83.23
24965,76.95,76.54,76.54,79.28,73.65,78.59
24971,74.81,76.34,70.99,66.29,69.71,60.09
24973,56.41,64.10,51.28,24.64,23.97,21.66
24984,88.89,86.42,87.65,86.93,82.68,93.76
25009,79.94,78.43,77.22,73.67,73.84,70.44
25017,75.00,76.72,73.28,68.68,65.66,61.79
25021,66.00,66.00,66.00,46.05,49.61,43.75
25023,76.27,76.27,76.27,45.25,56.45,44.57
25035,83.37,84.43,77.19,80.36,79.28,74.30
25052,75.00,73.44,76.56,75.21,72.20,76.17
25057,87.36,86.21,88.51,96.93,96.93,96.93
25067,78.27,77.00,73.84,73.58,72.79,64.21
25069,95.95,94.59,90.54,98.65,97.57,91.68
25071,70.00,80.00,63.33,65.51,74.65,51.35
25075,75.44,75.44,72.81,66.48,66.97,60.75
25084,81.60,82.40,78.00,84.13,84.74,80.49
25093,62.03,64.56,62.03,48.93,46.95,52.97
25094,72.40,71.97,71.76,64.51,67.17,65.49
25097,85.41,87.57,83.24,89.73,80.71,79.46
25100,75.92,74.87,77.49,75.16,77.42,73.14
25110,80.08,78.16,77.78,70.13,66.92,68.09
25133,86.08,86.08,80.93,93.06,93.04,79.56
25139,89.39,89.39,86.36,89.46,89.46,88.67
25148,69.67,72.95,70.49,71.35,69.20,79.75
25156,84.00,81.33,85.33,94.00,93.71,94.67
25173,84.41,85.48,84.95,91.18,93.39,90.64
25177,91.96,87.50,93.75,93.40,93.30,99.55
25178,79.23,82.31,79.23,80.39,81.81,77.37
25182,89.19,87.84,90.54,73.34,74.25,79.19
25198,83.55,82.57,80.92,67.78,68.54,67.19
25214,83.67,84.69,80.61,84.85,84.62,82.87
25217,79.41,75.49,76.47,75.82,73.20,76.88
25228,94.55,94.55,94.55,98.18,98.18,98.18
25238,75.00,66.67,87.50,59.31,50.49,69.61
25239,79.34,79.34,83.47,76.50,84.09,80.32
25241,85.94,89.06,82.81,77.38,79.72,86.63
25248,78.79,79.55,78.03,74.51,76.59,73.88
