seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
24697,91.49,89.36,89.36,93.40,90.92,93.40
24704,93.83,95.06,95.06,98.97,98.97,98.97
24720,79.53,79.87,77.85,77.50,73.87,78.31
24740,85.31,85.31,76.22,90.36,91.12,79.44
24759,83.33,80.21,79.17,52.39,49.53,63.93
24761,90.74,87.04,90.74,94.18,88.43,94.18
24770,74.68,74.68,76.58,55.35,48.35,63.73
24777,85.25,87.56,80.18,62.32,72.39,57.89
24799,70.68,73.15,66.58,63.89,66.18,63.75
24801,85.37,82.93,82.93,75.20,74.45,73.37
24811,83.97,82.44,83.21,86.41,78.96,86.12
24818,81.48,80.56,77.78,78.78,76.31,76.56
24824,82.68,80.31,81.89,82.56,83.99,87.83
24825,85.91,87.02,85.36,91.83,90.50,87.89
24844,82.96,85.19,76.30,79.39,79.57,66.25
24849,80.26,80.26,77.63,78.48,79.68,66.94
24856,90.16,90.16,80.33,94.96,95.08,85.13
24861,92.64,91.86,88.76,95.28,96.33,94.90
24875,93.53,92.35,93.53,99.71,99.71,99.71
24890,78.74,77.95,76.38,77.51,78.31,75.84
24892,82.35,84.31,77.45,92.28,92.28,87.84
24902,86.00,83.00,90.00,82.74,75.28,81.21
24904,78.22,87.13,65.35,74.11,81.55,71.54
24927,86.23,84.78,82.61,94.57,91.24,73.42
24934,84.87,85.53,79.61,93.54,95.78,86.94
24941,83.72,86.05,84.50,89.06,90.57,89.90
24942,78.57,78.57,80.52,72.95,80.52,73.05
24944,58.23,56.96,63.29,48.68,53.17,55.55
24945,80.00,81.90,77.14,75.57,81.60,73.76
24946,88.57,87.86,87.14,83.98,83.26,86.38
24950,84.02,84.85,82.64,87.27,89.01,85.34
24980,77.66,75.53,72.34,74.78,71.26,66.00
24987,97.62,97.62,97.62,100.00,100.00,100.00
24992,73.42,70.89,69.62,74.50,75.56,61.65
24994,67.65,65.77,69.27,63.99,65.71,64.68
24998,84.72,83.94,83.42,78.70,77.99,80.16
25002,76.04,79.17,70.83,62.08,70.69,59.45
25021,80.00,76.00,78.00,64.38,60.04,56.41
25033,81.52,79.35,79.89,79.36,78.18,79.42
25034,88.28,87.59,86.90,80.90,67.13,75.89
25038,76.58,73.87,75.68,85.46,84.29,85.04
25046,67.54,63.35,63.35,62.18,55.91,57.24
25063,81.08,82.43,70.27,81.40,81.40,66.73
25088,76.28,75.64,75.64,79.00,78.35,77.99
25100,75.92,75.39,74.87,78.53,78.83,76.65
25101,91.60,87.39,89.08,85.19,77.59,75.06
25118,83.75,83.75,81.87,76.68,78.55,78.63
25123,85.94,86.72,86.72,92.55,92.55,93.25
25124,81.56,80.45,81.01,76.75,74.44,80.58
25126,83.23,85.03,79.64,76.73,77.67,72.50
25137,81.33,82.67,69.33,86.00,85.67,70.84
25139,93.94,89.39,93.94,96.97,94.44,100.00
25143,79.61,81.55,82.52,75.11,83.44,76.23
25165,80.89,82.80,78.34,77.81,85.33,76.75
25170,71.52,66.46,74.05,53.59,49.88,54.79
25187,83.87,85.48,85.48,79.51,82.20,78.47
25189,80.95,81.63,78.23,69.69,79.52,72.49
25191,71.32,69.77,73.64,68.43,66.33,70.40
25204,90.48,90.48,90.48,82.05,81.03,96.43
25212,74.07,77.16,74.69,77.98,75.81,73.61
25216,77.61,77.61,77.61,59.21,60.19,68.11
25221,80.10,82.14,67.35,82.19,79.98,61.14
25228,95.45,94.55,94.55,99.09,98.18,99.09
25235,73.44,70.31,64.06,55.44,54.66,49.56
25241,90.62,89.06,84.37,80.57,80.99,81.97
25244,82.76,82.76,79.31,94.31,95.75,92.40
25245,84.03,84.98,80.51,79.31,82.88,76.31
25246,79.27,77.20,74.09,83.73,75.20,77.16
25249,81.63,80.27,77.55,64.19,62.04,67.77
25261,80.11,82.39,74.43,67.05,67.95,63.35
25272,79.22,68.83,83.12,74.44,66.37,77.06
25280,81.74,82.17,76.09,75.20,80.24,63.42
25283,57.76,58.62,65.09,44.64,48.29,52.67
25287,82.13,81.44,80.07,82.39,80.80,80.25
