scopeID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
d3ag3m_,88.37,76.74,68.79,60.96
d2o9ux_,42.11,46.32,44.75,44.26
e1n13.1B,85.71,83.93,94.26,90.24
d2p12a1,83.64,89.09,85.48,93.84
d1v74b_,93.10,93.10,95.57,95.57
d1mk0a_,89.69,93.81,98.24,99.38
d1zina2,80.00,68.57,65.19,34.21
d1qd1a1,82.68,79.89,79.18,78.98
d1r29a_,87.70,72.95,90.31,68.45
d3sjld_,74.73,78.19,79.58,80.40
d1vr0a1,83.83,81.70,81.01,85.39
d1dzfa1,79.14,76.26,67.79,65.62
d2bjqa1,71.76,74.12,67.27,65.18
d1q8da_,81.00,68.00,75.96,64.55
d2rbka_,80.08,68.97,79.31,63.40
d4gwga2,83.85,82.47,84.24,79.21
d1y9ia_,86.16,83.65,87.37,86.38
d1fm0e_,86.62,84.51,87.22,87.38
d3qm9a_,89.58,85.42,89.68,85.47
d3d3ba_,87.05,85.61,91.59,90.95
d3s9za_,72.31,76.36,68.64,69.62
d1g73a_,91.72,91.08,80.08,70.62
d2hxma_,82.96,83.41,77.34,77.86
d1kafa_,82.41,75.93,90.97,84.81
d2dewx1,80.61,76.97,82.05,78.30
d3r87a_,84.09,73.48,76.71,66.89
d3fxka2,95.59,95.59,100.00,100.00
d1wb9a1,91.92,83.16,91.78,79.45
d3zuca_,77.12,80.39,73.48,78.54
d1kjqa3,83.74,81.77,84.86,85.99
d2cara1,78.35,70.62,77.07,68.83
d1nija2,83.16,81.05,87.88,79.68
d4jera_,65.75,70.72,60.69,61.61
d2fb5a1,76.62,78.11,85.41,78.59
d2f4mb_,85.25,81.97,79.58,67.84
d2wbma2,92.00,86.67,93.67,82.65
d4a1ia1,82.42,73.94,88.83,53.43
d1ux5a_,79.56,75.91,69.11,65.26
d1kp6a_,60.76,64.56,57.53,54.87
d3n2wa_,80.65,80.38,72.97,76.12
d1m15a1,78.72,78.72,73.26,73.76
d1dj8a_,55.70,59.49,63.89,68.64
d4hl2a_,76.13,77.37,74.16,71.70
d2huja1,93.33,90.83,99.58,98.89
d3m7va2,84.87,83.19,91.29,80.60
d1u2ca2,84.80,80.80,94.93,93.08
d1mkfa_,70.08,67.65,67.32,63.87
d1rwia_,85.55,78.91,88.97,84.90
d3gwkc_,82.65,86.73,86.26,87.44
d3bofa2,83.33,76.00,82.81,71.96
d1k5ca_,71.17,66.37,61.94,57.68
d1v8ca2,66.67,65.38,71.82,59.97
d1nkza_,77.36,75.47,77.29,76.55
d3ea6a1,76.19,75.00,81.08,78.72
d1vq8x1,87.80,82.93,89.16,83.25
d4atma_,93.21,89.14,70.18,70.09
d2pu9a_,79.09,76.36,62.86,62.39
d1byia_,84.82,83.93,79.18,76.68
d1tt8a_,72.56,67.68,68.38,55.30
d1szha_,81.63,77.55,78.90,66.53
d1ayoa_,86.15,83.85,89.05,90.41
d1uz5a1,93.06,88.89,88.57,88.18
e1qtn.1B,77.78,77.78,75.90,65.58
d2prva1,85.53,83.55,86.95,78.43
d1uuya_,84.47,80.75,87.65,83.04
d1gxua_,88.64,85.23,96.59,92.40
d1no1a_,94.03,95.52,86.08,100.00
d3pmsa1,87.59,86.13,92.26,86.14
d2od0a1,81.55,84.47,85.77,94.76
d2ahma1,75.34,76.71,69.27,91.57
d2x42a3,81.97,80.33,79.89,79.43
d4a5sa1,76.33,72.49,75.49,68.39
d2i53a1,83.33,83.33,75.38,87.09
d1g8qa_,83.33,81.11,70.54,70.26
d1crua_,82.59,83.48,68.05,72.36
d3gmxa_,81.70,75.16,82.68,72.85
d2ii1a_,80.81,81.82,80.83,82.16
d1eu1a2,73.86,70.92,66.55,61.50
d1wcwa_,81.89,81.50,85.66,90.53
d3mg3a1,85.45,87.88,92.55,86.86
d2ot3a_,89.33,88.93,92.03,91.82
d3lasa_,88.55,89.16,94.40,99.40
d1h4ra1,88.29,85.59,85.60,90.14
d4f01a2,95.83,97.92,85.45,86.71
d2qdla_,75.32,72.73,76.66,68.07
d1yk4a_,80.77,80.77,40.96,44.44
d1sr8a_,75.89,73.40,75.64,74.11
d1zzka_,86.25,87.50,85.45,85.74
d4htga2,92.50,87.50,98.75,96.88
e1mtp.1A,65.31,55.62,65.54,50.31
d2fcwb1,82.05,84.62,71.54,90.38
d1u6ka_,76.95,80.85,80.12,75.55
d1k8kg_,86.96,86.23,94.20,85.06
d1zava1,92.09,87.57,96.61,88.01
d1gpqa_,81.89,83.46,83.62,89.07
d1rgxa_,76.40,66.29,80.53,68.68
d1wuil_,79.96,79.40,73.58,70.61
d2apob_,81.82,87.27,72.36,86.73
d1euwa_,81.62,69.85,74.74,57.62
d1xvsa_,87.90,83.87,81.69,76.60
d2fhzb_,82.80,80.65,78.65,81.90
d1g6xa_,91.38,91.38,94.83,94.83
d1j5ua_,76.38,81.10,76.45,83.37
d2es4d1,90.37,90.00,92.83,94.47
d2ebfx1,78.00,79.67,73.18,79.97
d1ah7a_,84.90,88.57,82.52,92.96
d1wnya_,82.78,67.78,86.89,67.75
d3cr3a1,86.46,86.98,86.97,85.88
d3hmsa_,74.73,72.53,72.46,64.77
d2fiya1,82.81,86.32,82.26,79.27
d1ow1a_,76.05,71.86,80.51,72.19
