seqID,domain,pdbId,chain
24695,d1a12a_,1a12,a
24696,d1a1xa_,1a1x,a
24697,d1a62a1,1a62,a
24698,d1a9xa1,1a9x,a
24699,d1a9xb1,1a9x,b
24700,d1acoa1,1aco,a
24701,d1acoa2,1aco,a
24702,d1ad2a_,1ad2,a
24703,d1ae9a_,1ae9,a
24704,d1af7a1,1af7,a
24705,d1ah7a_,1ah7,a
24706,d1aiea_,1aie,a
24707,d1aola_,1aol,a
24708,d1ayoa_,1ayo,a
24709,d1b0na1,1b0n,a
24710,d1b25a1,1b25,a
24711,d1b25a2,1b25,a
24712,d1b33n_,1b33,n
24713,d1b79a_,1b79,a
24714,d1bcoa1,1bco,a
24715,d1bg1a1,1bg1,a
24716,d1bgfa_,1bgf,a
24717,d1bkra_,1bkr,a
24718,d1bm8a_,1bm8,a
24719,d1boua_,1bou,a
24720,d1boub_,1bou,b
24721,d1bx7a_,1bx7,a
24722,d1bxya_,1bxy,a
24723,d1byia_,1byi,a
24724,d1c1ka_,1c1k,a
24725,d1c5ea_,1c5e,a
24726,d1c75a_,1c75,a
24727,d1cc8a_,1cc8,a
24728,d1ccwa_,1ccw,a
24729,d1ccwb_,1ccw,b
24730,d1cfza_,1cfz,a
24731,d1chda_,1chd,a
24732,d1ci4a_,1ci4,a
24733,d1cipa1,1cip,a
24734,d1ciya2,1ciy,a
24735,d1ciya3,1ciy,a
24736,d1cola_,1col,a
24737,d1cq3a_,1cq3,a
24738,d1crua_,1cru,a
24739,d1cuka1,1cuk,a
24740,d1cxqa_,1cxq,a
24741,d1cxzb_,1cxz,b
24742,d1cy5a_,1cy5,a
24743,d1d0qa_,1d0q,a
24744,d1d3ya_,1d3y,a
24745,d1dcea2,1dce,a
24746,d1dd9a_,1dd9,a
24747,d1dfup_,1dfu,p
24748,d1dj0a_,1dj0,a
24749,d1dj8a_,1dj8,a
24750,d1dk8a_,1dk8,a
24751,d1dl5a2,1dl5,a
24752,d1ds1a_,1ds1,a
24753,d1dtdb_,1dtd,b
24754,d1dvoa_,1dvo,a
24755,d1dwka2,1dwk,a
24756,d1dy5a_,1dy5,a
24757,d1dzfa1,1dzf,a
24758,d1dzfa2,1dzf,a
24759,d1e44b_,1e44,b
24760,d1e58a_,1e58,a
24761,d1e7la1,1e7l,a
24762,d1e8ca1,1e8c,a
24763,d1eb6a_,1eb6,a
24764,d1ecwa_,1ecw,a
24765,d1eexb_,1eex,b
24766,d1eexg_,1eex,g
24767,d1ef1c_,1ef1,c
24768,d1egwa_,1egw,a
24769,d1ei5a1,1ei5,a
24770,d1ei7a_,1ei7,a
24771,d1el6a_,1el6,a
24772,d1elva2,1elv,a
24773,d1em8b_,1em8,b
24774,d1eu1a1,1eu1,a
24775,d1eu1a2,1eu1,a
24776,d1euwa_,1euw,a
24777,d1ewfa1,1ewf,a
24778,d1ex0a2,1ex0,a
24779,d1ezga_,1ezg,a
24780,d1f00i1,1f00,i
24781,d1f0la1,1f0l,a
24782,d1f0la3,1f0l,a
24783,d1f1ea_,1f1e,a
24784,d1f1ma_,1f1m,a
24785,d1f35a_,1f35,a
24786,d1f3ua_,1f3u,a
24787,d1f3va_,1f3v,a
24788,d1f44a1,1f44,a
24789,d1f46a_,1f46,a
24790,d1f5na1,1f5n,a
24791,d1f60b_,1f60,b
24792,d1f7ua3,1f7u,a
24793,d1f86a_,1f86,a
24794,d1fcya_,1fcy,a
24795,d1fjra_,1fjr,a
24796,d1fkma1,1fkm,a
24797,d1fm0d_,1fm0,d
24798,d1fm0e_,1fm0,e
24799,d1fn9a_,1fn9,a
24800,d1fpoa2,1fpo,a
24801,d1fs1a1,1fs1,a
24802,d1fsga_,1fsg,a
24803,d1ftra1,1ftr,a
24804,d1fx2a_,1fx2,a
24805,d1fxka_,1fxk,a
24806,d1g2ra_,1g2r,a
24807,d1g2ya_,1g2y,a
24808,d1g3pa1,1g3p,a
24809,d1g6xa_,1g6x,a
24810,d1g73a_,1g73,a
24811,d1g7sa3,1g7s,a
24812,d1g8ea_,1g8e,a
24813,d1g8qa_,1g8q,a
24814,d1gcia_,1gci,a
24815,d1gd8a_,1gd8,a
24816,d1gmua1,1gmu,a
24817,d1gmua2,1gmu,a
24818,d1gmxa_,1gmx,a
24819,d1go3e2,1go3,e
24820,d1goia1,1goi,a
24821,d1gp0a_,1gp0,a
24822,d1gpja1,1gpj,a
24823,d1gpja3,1gpj,a
24824,d1gpqa_,1gpq,a
24825,d1gqea_,1gqe,a
24826,d1gqia2,1gqi,a
24827,d1gs9a_,1gs9,a
24828,d1gtea1,1gte,a
24829,d1gvna_,1gvn,a
24830,d1gwea_,1gwe,a
24831,d1gxma_,1gxm,a
24832,d1gxua_,1gxu,a
24833,d1gzsb_,1gzs,b
24834,d1h16a_,1h16,a
24835,d1h2ca_,1h2c,a
24836,d1h2sb_,1h2s,b
24837,d1h4ra1,1h4r,a
24838,d1h4xa_,1h4x,a
24839,d1h7ca_,1h7c,a
24840,d1h99a1,1h99,a
24841,d1hbna1,1hbn,a
24842,d1hbna2,1hbn,a
24843,d1hc7a3,1hc7,a
24844,d1he1a_,1he1,a
24845,d1hf2a1,1hf2,a
24846,d1hfes_,1hfe,s
24847,d1hi9a_,1hi9,a
24848,d1hp1a1,1hp1,a
24849,d1hq1a_,1hq1,a
24850,d1hufa_,1huf,a
24851,d1hw1a2,1hw1,a
24852,d1hxra_,1hxr,a
24853,d1hyoa1,1hyo,a
24854,d1hyoa2,1hyo,a
24855,d1i1wa_,1i1w,a
24856,d1i2ta_,1i2t,a
24857,d1i3ja_,1i3j,a
24858,d1i4ja_,1i4j,a
24859,d1i71a_,1i71,a
24860,d1ifra_,1ifr,a
24861,d1ijqa1,1ijq,a
24862,d1ijya_,1ijy,a
24863,d1ik9a1,1ik9,a
24864,d1ikpa3,1ikp,a
24865,d1in0a1,1in0,a
24866,d1io0a_,1io0,a
24867,d1io1a_,1io1,a
24868,d1ioma_,1iom,a
24869,d1iq4a_,1iq4,a
24870,d1iqza_,1iqz,a
24871,d1irqa_,1irq,a
24872,d1itxa2,1itx,a
24873,d1ix9a1,1ix9,a
24874,d1ix9a2,1ix9,a
24875,d1izma_,1izm,a
24876,d1j09a1,1j09,a
24877,d1j0pa_,1j0p,a
24878,d1j27a_,1j27,a
24879,d1j3wa_,1j3w,a
24880,d1j5ua_,1j5u,a
24881,d1j5ya2,1j5y,a
