seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
24696,73.58,74.53,62.63,75.63
24701,77.80,76.66,75.19,72.52
24715,92.66,90.40,90.94,78.38
24725,61.05,51.58,53.96,57.50
24730,79.63,80.86,80.69,81.93
24732,89.89,82.02,78.75,87.31
24735,91.03,87.89,88.45,81.04
24739,89.58,91.67,100.00,100.00
24745,81.65,79.82,81.90,80.92
24769,81.71,82.93,86.84,90.75
24775,74.67,74.18,69.56,69.60
24779,76.83,76.83,11.82,11.82
24794,85.59,74.15,70.49,71.25
24830,85.74,80.12,67.98,56.53
24843,75.68,75.68,81.62,82.02
24852,70.09,71.03,62.72,61.04
24863,83.19,84.96,91.43,93.11
24866,88.55,88.55,88.43,95.50
24874,81.74,78.26,81.49,76.75
24879,91.79,90.30,86.62,95.19
24882,83.12,84.42,78.15,83.76
24884,75.36,73.19,68.04,60.02
24885,74.47,75.18,66.48,53.45
24900,87.63,88.66,90.59,89.32
24905,84.17,79.17,75.82,77.17
24911,76.51,77.58,75.35,76.21
24913,76.74,78.04,70.51,68.68
24914,87.64,91.01,86.38,90.23
24922,89.44,88.03,87.06,87.44
24924,81.12,79.83,72.79,69.41
24926,84.97,83.24,86.00,85.27
24928,80.47,82.81,72.99,76.64
24931,72.32,75.45,73.89,73.83
24936,90.99,88.29,84.45,85.79
24940,78.38,84.86,80.18,88.12
24957,98.36,98.36,100.00,99.18
24971,74.05,74.05,61.55,65.80
24977,81.34,79.10,76.55,74.93
25009,80.69,77.07,73.45,66.09
25013,81.18,81.18,84.59,83.57
25016,76.74,78.49,74.23,79.25
25022,82.11,80.00,87.04,79.93
25026,81.13,75.47,79.02,78.07
25041,76.51,71.14,80.45,77.11
25045,76.98,78.57,86.25,80.89
25051,84.62,84.62,86.87,87.01
25055,83.78,78.38,42.95,59.32
25058,75.00,69.40,70.19,67.77
25061,80.45,80.00,71.84,77.49
25062,96.15,96.15,100.00,100.00
25064,86.30,70.89,81.06,66.42
25069,91.89,89.19,96.89,83.20
25073,90.91,90.91,92.99,90.50
25086,86.99,85.62,85.16,85.37
25090,70.73,70.73,24.27,24.27
25093,79.75,74.68,65.02,68.11
25107,84.37,96.87,86.46,100.00
25116,86.90,85.71,98.21,93.45
25135,78.43,78.43,56.54,56.54
25148,68.85,76.23,59.79,79.31
25154,69.70,69.70,58.56,46.62
25160,87.86,74.29,88.42,77.13
25161,83.16,83.16,87.93,82.41
25168,80.44,76.34,78.67,73.75
25171,82.08,78.30,70.69,67.99
25173,83.87,84.41,87.04,89.73
25175,88.68,86.79,89.10,82.67
25176,86.38,87.79,83.12,86.57
25179,79.66,83.05,86.40,90.69
25181,92.81,88.02,97.60,79.97
25186,79.80,79.47,79.82,77.18
25193,85.08,81.41,77.96,68.09
25198,83.22,81.58,73.10,67.17
25210,75.00,76.28,83.32,85.16
25218,89.31,88.55,86.98,89.62
25231,80.56,82.87,81.82,81.43
25243,76.56,76.56,43.22,43.22
25248,78.79,75.76,81.92,76.31
25254,86.84,88.16,92.30,93.29
25266,89.66,91.95,93.59,94.75
25267,88.33,87.55,76.21,82.18
25276,93.10,96.55,98.85,98.28
25279,86.53,77.20,83.89,69.76
25318,87.96,84.72,92.29,85.13
25321,86.61,86.61,87.10,84.83
25335,69.28,66.89,43.86,50.18
25342,90.76,87.50,85.23,83.15
25343,70.00,80.00,46.51,53.55
25344,82.83,81.33,80.62,80.92
25353,92.65,92.65,100.00,100.00
25354,74.77,70.09,62.21,58.99
25355,83.26,83.26,85.19,85.04
25358,79.89,82.61,80.90,90.13
25361,78.02,84.62,78.58,88.17
25366,85.53,85.53,79.33,79.12
25367,85.12,91.74,94.48,99.07
25369,84.37,85.27,76.28,73.38
25370,80.74,77.87,80.52,77.07
25373,90.91,92.93,99.33,98.72
25379,87.10,83.06,82.32,85.50
25386,88.68,79.87,87.24,83.93
25391,78.85,78.85,40.00,40.00
25398,80.58,81.55,84.83,86.60
25400,79.45,90.41,59.83,55.35
25406,79.73,77.03,77.15,64.96
25411,81.97,81.97,87.77,85.66
25413,75.38,79.55,70.02,79.36
25415,74.26,81.62,77.09,76.90
25420,84.50,82.57,84.68,80.08
25427,80.00,77.50,75.79,74.93
25469,72.94,76.47,79.05,82.89
25474,72.25,73.99,75.26,75.35
25480,82.35,79.41,86.06,84.37
25490,87.66,89.61,82.58,74.61
25496,76.12,77.61,82.31,80.46
25512,86.90,86.90,85.97,82.10
25513,81.21,73.33,82.48,64.71
25520,80.86,82.72,77.10,74.46
25542,80.68,81.25,74.56,78.69
25544,85.87,85.87,87.14,90.91
25546,77.71,82.53,65.86,78.10
25549,75.62,80.10,83.20,82.72
25550,85.96,85.96,84.75,88.67
25551,77.71,78.34,82.92,82.34
25562,83.87,81.72,81.57,82.22
25564,83.51,83.16,85.91,81.98
25576,69.81,71.70,71.67,84.91
25588,76.83,86.59,50.43,71.17
25607,83.87,83.33,85.06,87.68
25608,82.52,82.85,85.95,86.74
25612,81.67,83.33,84.03,89.24
25638,79.89,77.72,83.73,82.62
25643,89.09,89.09,98.68,90.81
25650,70.89,78.40,63.91,72.62
25661,73.53,73.53,59.59,67.87
25666,76.51,77.18,80.42,82.66
25667,80.00,65.71,23.39,48.24
25671,77.46,84.51,84.41,87.32
25689,83.58,85.57,82.32,80.35
25693,93.24,89.19,93.59,95.86
25694,91.18,89.71,98.53,98.53
25718,83.26,83.26,70.11,80.26
25720,85.48,90.32,94.24,98.39
25723,84.76,82.86,74.74,72.84
25724,72.73,79.72,72.22,77.99
25731,80.91,83.40,71.57,77.71
25745,82.77,78.46,85.01,80.88
25759,82.56,79.65,71.63,72.44
25762,77.92,72.08,79.06,69.58
25774,80.84,71.65,81.37,66.10
25786,90.24,93.90,98.35,99.09
25788,84.44,81.79,67.38,62.35
25800,83.76,84.62,82.62,84.91
25804,85.47,80.23,78.12,60.95
25809,83.25,68.90,84.67,60.95
25816,87.53,86.45,79.88,80.51
25819,74.02,70.59,67.10,64.86
25820,80.28,81.69,86.10,80.47
25828,83.85,81.54,92.44,91.21
25829,84.08,79.05,91.33,84.85
25831,87.04,87.04,83.01,97.65
25854,85.71,78.57,74.80,53.28
25881,77.48,72.85,78.45,75.49
25888,81.33,77.33,83.62,75.01
25895,79.31,77.78,70.69,68.97
25897,73.55,71.07,67.93,64.31
25937,62.18,66.11,65.37,69.56
25938,73.01,69.02,67.03,65.84
25939,73.37,69.85,73.83,64.47
25963,80.37,74.87,71.74,69.32
25986,80.00,75.20,74.50,70.44
26022,90.20,88.24,83.90,83.62
26024,84.06,81.88,89.84,82.35
26040,88.19,86.11,86.71,80.41
26051,81.78,73.28,78.47,74.97
26080,80.37,83.11,90.88,89.35
26083,87.50,84.72,43.57,42.72
26088,90.56,92.22,67.01,76.69
26091,83.26,79.53,86.21,80.96
26092,78.40,81.60,73.84,86.46
26098,79.74,79.08,72.08,76.34
26107,90.51,84.18,94.85,89.81
26123,89.38,89.38,89.76,86.03
26129,87.50,88.79,92.27,93.30
26130,81.32,77.20,75.80,67.69
26142,78.99,79.35,73.39,78.49
26152,77.16,73.92,73.01,69.72
26155,76.65,72.76,69.75,65.42
26156,82.71,86.45,78.33,89.42
26159,84.19,83.16,82.82,82.52
26169,74.58,75.42,75.12,78.55
26182,91.35,82.70,93.53,88.30
26195,85.71,91.43,94.29,97.14
