seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
24708,84.62,84.62,85.38,91.90,91.38,89.76
24711,84.29,86.19,75.24,86.57,90.10,78.40
24713,88.24,88.24,82.35,92.63,92.63,85.62
24723,84.82,84.82,81.25,78.98,79.95,74.40
24730,79.63,79.01,80.86,77.60,79.00,81.32
24731,83.33,84.34,85.35,86.52,89.64,86.95
24738,81.47,81.25,81.25,65.57,67.68,70.37
24744,79.93,78.89,78.89,81.80,79.76,80.64
24753,60.66,62.30,52.46,48.41,51.69,38.58
24760,78.54,76.11,79.76,73.20,65.69,75.24
24768,91.55,92.96,83.10,95.63,86.14,55.46
24775,76.31,74.67,74.51,72.42,68.11,71.80
24779,76.83,76.83,78.05,11.82,11.82,25.90
24786,77.97,77.97,77.97,84.92,81.54,84.88
24787,79.75,82.91,76.58,80.76,81.99,71.33
24798,85.21,83.10,85.92,89.11,86.78,88.62
24801,85.37,85.37,82.93,75.20,75.20,73.37
24808,78.46,75.38,76.92,66.16,65.39,65.68
24809,93.10,94.83,93.10,94.83,95.40,94.83
24830,85.74,86.95,78.92,60.49,64.60,50.57
24833,78.79,76.36,76.36,78.09,70.96,70.78
24837,86.49,88.29,82.88,81.63,83.90,75.78
24840,87.83,88.70,86.09,79.69,79.69,72.26
24841,53.05,52.69,50.18,39.30,31.64,39.18
24853,76.27,74.58,74.58,63.54,56.94,62.16
24863,87.61,84.96,88.50,94.52,88.47,95.34
24866,88.55,85.54,87.35,87.58,85.53,96.02
24868,89.30,88.77,84.22,90.13,79.70,89.50
24879,91.79,91.79,85.82,89.98,91.09,92.20
24883,76.62,77.97,67.43,56.33,51.83,49.43
24890,80.31,80.31,79.53,80.66,79.83,75.77
24895,80.69,77.24,80.69,62.83,63.34,59.58
24901,83.29,82.47,82.19,79.37,84.10,82.34
24904,80.20,83.17,70.30,70.57,75.11,68.32
24917,85.19,81.94,83.80,79.84,77.64,79.49
24926,83.24,84.39,79.19,75.89,77.50,79.42
24936,87.39,88.29,90.09,87.52,88.20,94.37
24956,51.14,51.14,48.86,35.54,37.25,30.80
24958,89.29,90.48,90.48,95.15,94.56,95.92
24966,85.37,84.15,81.10,86.97,87.79,83.45
24969,71.43,68.78,72.49,72.40,64.18,70.50
24980,76.60,77.66,73.40,73.25,71.40,67.23
24995,85.19,86.42,82.72,98.35,99.18,97.12
24996,84.29,84.29,85.71,95.29,95.29,97.30
25013,82.26,80.65,79.03,79.97,87.42,69.25
25032,78.34,78.34,77.24,74.42,72.42,70.46
25041,71.81,73.15,71.81,74.03,69.74,63.41
25047,86.46,87.38,83.08,80.15,81.37,76.50
25065,92.45,92.45,92.45,99.06,99.06,98.87
25067,78.69,79.32,74.89,74.21,71.58,67.62
25070,81.25,77.08,76.39,77.35,82.34,63.18
25093,65.82,67.09,65.82,48.85,49.87,50.44
25096,62.86,65.71,62.86,51.71,52.02,49.94
25100,78.01,76.96,76.96,77.54,82.72,78.35
25108,84.62,87.82,80.77,73.77,82.54,75.81
25126,83.83,86.23,74.85,71.80,75.18,67.75
25144,91.44,91.98,85.56,91.70,84.32,85.49
25146,73.68,66.67,71.93,54.26,55.26,52.36
25147,80.97,79.20,79.20,89.78,79.62,85.81
25151,65.17,69.66,67.42,73.01,66.11,69.96
25154,66.67,63.64,69.70,37.33,53.72,43.08
