seqID,HMM_acc,PSSM_acc,HMM_sov,PSSM_sov
21697,76.09,76.66,76.92,72.92
21708,68.66,73.13,71.81,86.53
21733,87.44,87.00,88.13,88.31
21755,78.42,74.82,69.19,67.88
21757,71.87,73.96,38.12,34.82
21766,87.32,71.83,83.86,58.51
21769,91.59,88.08,92.80,85.85
21773,87.10,85.81,72.06,76.19
21783,86.09,86.75,82.27,83.64
21786,74.58,73.73,78.99,78.79
21801,92.63,93.68,82.78,79.13
21802,85.37,82.93,75.20,70.33
21807,82.98,81.91,83.02,84.94
21818,90.00,85.71,91.71,88.71
21823,87.22,82.71,83.20,78.80
21824,80.41,79.38,59.14,57.04
21835,75.76,74.55,61.52,79.57
21837,54.84,59.68,47.47,57.64
21842,85.44,85.44,86.38,86.33
21852,81.58,82.89,78.15,78.04
21866,90.16,81.15,78.12,71.86
21887,81.17,83.77,75.33,79.78
21895,66.93,68.50,69.19,72.69
21904,85.11,87.23,80.72,83.73
21907,91.00,90.00,88.16,84.18
21916,97.01,98.51,73.08,100.00
21929,87.32,90.14,86.64,88.31
21938,76.79,77.68,82.99,81.25
21940,88.66,84.54,94.85,88.71
21945,81.91,82.98,87.72,86.35
21951,60.76,62.03,57.31,54.90
21958,78.95,78.20,72.48,73.29
21962,78.89,75.56,73.78,80.04
21964,98.36,96.72,99.18,97.54
21983,87.69,75.38,72.57,48.03
21985,87.80,86.90,89.32,93.83
22022,92.08,95.05,98.27,98.66
22029,74.00,74.00,65.91,74.73
22042,90.34,87.59,84.36,62.29
22044,86.35,85.07,83.41,80.93
22052,83.52,81.56,78.01,74.08
22062,66.41,66.41,64.49,65.70
22066,78.28,72.22,45.38,42.26
22084,87.30,86.51,83.29,81.29
22090,89.60,89.60,80.27,79.98
22094,88.55,88.55,90.72,97.01
22106,80.30,77.27,76.89,67.04
22119,80.30,77.27,76.58,76.52
22138,84.36,81.56,72.76,80.06
22142,81.94,80.32,79.24,76.48
22144,87.37,78.95,93.61,87.26
22151,55.13,73.08,53.69,75.49
22156,77.84,79.46,75.31,78.59
22162,64.91,71.93,38.30,50.00
22169,91.67,75.00,68.06,36.11
22171,73.47,80.61,71.24,77.32
22176,86.43,85.00,94.97,96.37
22180,77.07,72.61,81.47,70.15
22181,82.26,72.58,80.89,67.66
22185,72.78,72.78,55.56,63.01
22244,80.00,74.44,86.76,76.76
22262,85.94,89.06,89.42,90.26
22270,82.31,80.95,72.64,70.66
22289,87.55,88.72,79.75,80.53
22294,80.88,80.88,75.24,76.27
22299,82.57,77.06,80.15,77.88
22310,70.35,72.67,75.91,76.38
22315,72.90,68.22,79.67,74.91
22316,88.28,90.62,97.58,98.75
22323,71.43,66.07,49.61,42.85
22326,84.41,83.87,81.77,81.20
22330,91.55,90.14,91.36,60.59
22337,66.67,62.16,63.72,62.11
22345,87.50,81.48,89.17,81.35
22347,81.94,86.11,57.87,61.22
