seqID,JNET_acc,HMM_acc,PSSM_acc,JNET_sov,HMM_sov,PSSM_sov
24698,92.81,89.54,84.97,94.17,84.76,85.96
24702,83.04,83.48,79.46,83.95,85.33,84.78
24710,80.80,81.55,77.56,71.07,69.68,73.63
24712,76.12,79.10,73.13,87.84,88.43,89.63
24725,72.63,68.42,67.37,74.29,62.44,70.49
24739,91.67,91.67,91.67,100.00,100.00,100.00
24748,85.98,85.23,79.17,85.81,85.82,76.49
24750,80.27,81.63,79.59,75.20,84.24,82.00
24757,78.42,79.14,76.26,66.98,67.79,65.62
24759,83.33,79.17,81.25,56.15,54.68,56.23
24765,88.20,87.64,86.52,84.61,84.05,86.39
24769,84.15,81.71,84.15,91.97,89.53,90.74
24775,73.53,73.86,70.92,61.43,66.55,61.50
24777,86.64,86.18,82.49,68.65,62.69,65.69
24798,84.51,86.62,84.51,88.77,87.22,87.38
24799,72.05,73.42,70.41,64.65,64.17,59.37
24807,93.55,93.55,93.55,98.39,98.39,98.39
24811,82.44,80.92,80.92,85.52,76.29,84.81
24819,87.18,85.90,84.62,89.22,89.72,88.85
24830,87.95,86.55,83.13,74.84,72.61,65.91
24839,86.41,85.44,83.50,85.44,85.44,95.50
24852,73.83,72.90,71.03,63.01,59.94,61.01
24858,87.27,87.27,85.45,80.44,86.94,85.32
24859,81.93,80.72,79.52,70.84,68.46,74.44
24871,68.75,70.83,66.67,71.07,77.92,59.18
24902,87.00,87.00,89.00,79.08,85.00,85.33
24905,81.67,81.67,76.67,80.47,80.39,75.48
24913,76.74,75.19,76.74,65.35,64.54,65.02
24914,91.01,89.89,92.13,93.09,90.77,90.88
24918,86.11,80.56,87.50,94.84,94.84,97.62
24923,91.30,93.48,65.22,87.55,100.00,51.57
24933,87.63,90.72,82.47,91.89,98.97,83.89
24934,86.18,86.84,81.58,93.53,94.37,87.38
24935,67.57,63.51,66.22,62.47,60.90,57.25
24946,88.57,87.14,89.29,83.49,81.45,86.96
24951,75.19,75.19,78.20,70.07,69.21,74.23
24957,100.00,100.00,100.00,100.00,100.00,100.00
24966,85.98,84.15,82.32,81.42,79.46,76.63
24967,81.90,83.81,72.38,76.94,86.22,59.71
24971,77.10,77.10,76.34,73.48,72.32,69.16
24985,79.26,80.29,77.41,66.70,73.45,65.60
25002,79.17,77.08,71.87,69.57,63.22,62.50
25006,88.21,82.05,90.26,92.69,75.31,93.48
25013,84.41,82.80,81.72,85.92,80.76,80.49
25018,97.30,97.30,93.92,100.00,100.00,96.96
25023,71.19,71.19,84.75,54.11,54.71,67.64
25041,77.18,78.52,75.17,79.89,83.72,80.57
25048,79.44,78.75,72.47,71.22,70.57,61.87
25065,92.45,90.57,90.57,99.06,97.17,97.92
25069,93.24,93.24,94.59,98.24,97.57,99.32
25086,89.73,86.99,87.67,86.79,84.57,85.27
25089,91.87,90.24,91.06,93.26,91.92,93.33
25103,86.96,85.51,86.96,82.35,81.80,82.93
25104,86.87,86.87,85.86,88.94,77.14,98.82
25123,88.28,87.50,89.06,93.18,93.18,92.89
25125,77.08,76.74,78.47,70.13,70.53,73.84
25133,86.60,85.05,80.41,93.20,93.06,77.90
25134,83.13,83.13,77.37,79.40,79.37,78.22
25135,78.43,78.43,78.43,56.54,56.54,56.54
25140,82.16,81.08,82.16,78.68,79.05,78.09
25142,89.47,85.96,91.23,86.61,91.10,99.12
25154,72.73,60.61,72.73,48.39,44.19,46.87
25172,88.66,90.72,83.51,95.26,95.26,84.67
25173,87.63,87.10,87.63,91.43,92.01,90.49
25184,74.82,75.89,73.40,75.63,75.64,74.11
25204,92.38,93.81,91.90,91.92,87.06,95.79
25206,75.95,77.22,72.15,87.17,87.56,76.90
25213,78.30,76.17,78.30,81.91,76.15,83.15
25238,68.75,62.50,72.92,75.69,45.96,77.78
25239,84.30,81.82,85.12,70.60,60.74,82.98
25241,87.50,87.50,89.06,78.49,78.49,79.72
25246,79.27,78.76,76.68,87.16,86.48,85.43
25276,96.55,94.83,96.55,99.14,98.28,83.95
25278,85.85,87.56,77.07,78.98,83.25,75.33
25285,92.31,90.60,93.16,96.15,95.51,97.86
25294,91.18,91.18,92.65,92.86,92.86,92.86
25298,71.43,75.00,71.43,49.75,49.75,60.31
25305,82.55,83.83,81.70,83.88,81.01,85.39
25328,78.15,80.00,69.54,71.60,73.07,61.24
25341,92.51,90.91,90.37,94.92,93.07,86.46
25347,80.71,79.96,79.40,73.32,73.58,70.61
25354,82.71,79.91,77.57,75.78,71.83,67.44
25355,84.17,84.86,83.03,88.03,87.99,86.62
25359,88.59,87.92,88.59,82.07,80.98,88.27
25363,81.74,82.61,82.61,88.77,88.99,91.62
25373,90.91,90.91,92.93,98.72,97.88,98.72
25387,83.13,81.93,80.12,88.39,77.02,82.14
25388,88.56,90.75,85.40,87.22,88.27,79.92
25400,91.78,87.67,93.15,56.97,54.35,75.13
25408,77.27,80.91,79.09,77.81,87.97,69.57
25416,73.68,75.12,75.60,68.32,64.13,75.35
25422,75.36,79.71,73.91,80.68,84.84,80.20
25423,91.67,83.33,80.56,78.72,78.72,72.34
25424,91.49,89.36,87.23,100.00,87.27,97.28
25438,75.00,68.48,73.91,71.08,60.81,76.70
